"id","brand","model","year","category","engine_capacity"
"016e98267a2eb42c168f76cb2c0f8238","Yamaha","Star VMAX",2012,"Naked bike",1670
"01730e85f852459ba8219d07f06ecfe3","KTM","990 Adventure Black",2006,"Enduro / offroad",1000
"017bf775eed44cb8077ff8ddf8546b76","Kawasaki","KL 250",1983,"Classic",250
"017da238f597dbddca4fbaf765fa2d4d","AJP","PR4 200 Enduro",2008,"Enduro / offroad",200
"017fde522711422cd7aa2458b8753dee","Wakan","100 Roadster",2009,"Naked bike",1640
"018dffd8b7f30f631e66dbb149bfeeca","Harley-Davidson","Road Glide",2020,"Touring",1750
"018f8def71d65a9476b4b3c020828379","Harley-Davidson","FXDB Dyna Street Bob",2008,"Custom / cruiser",1570
"01a12f09fe9bb92ff061dd36136204d1","Triumph","Street Triple RS",2017,"Naked bike",770
"01a4ee4deb2e4eb061b4836f54035e21","Suzuki","GS 500 E",1993,"Naked bike",490
"01a505e079caf561bda7c3266d17ec1e","Yamaha","V Star 250",2010,"Custom / cruiser",250
"01a6a6afa2f178478fc49c913fc78a7b","Ducati","900 SS Super Sport",1990,"Sport",900
"01a86bf993f7eaa9062bee1924c23d17","Suzuki","V-Strom 650",2018,"Super motard",650
"01a9ca6b04dc51460988cc8e2ec1edd8","Adiva","AD250",2008,"Scooter",240
"01abf31dd0e99f2e43d41e6c53660771","Honda","Silver Wing ABS",2012,"Scooter",580
"01ae5f059e9aecf543cea540727bc015","Benelli","BN 600 R",2014,"Naked bike",600
"01b4a6194723916394af598d73127e24","Harley-Davidson","Pan America 1250 Special",2022,"Super motard",1250
"01b8606a5c9a8748f67d244a21fd178f","Kawasaki","Vulcan 900 Custom",2012,"Custom / cruiser",900
"01ba05e17d60f6a9cffad050225861a8","Benelli","TRK 502 X",2018,"Allround",500
"01bb90159d9b3a3ff17688d28c58ce30","Honda","CBF1000",2011,"Sport",1000
"01c99fcd187586b4ab604a2650b7186b","GAS GAS","GAS TXT Pro 280 2T",2010,"Trial",270
"01ccedab94cb6cf5b81de9dd48d447a1","Puch","GS 504 F 4 T",1985,"Enduro / offroad",500
"01d0e6f4d239d34b43ed73cf18e52b28","Harley-Davidson","FXSB 1340 Low Rider",1985,"Custom / cruiser",1340
"01dc37875e0b0bfd3ca8b7e6ff61eb68","MV Agusta","Agusta F4 S 750 EVO 3",2003,"Sport",750
"01e08a9ac9b27d80ddac72a1b21fa98c","Honda","GL 1500-6 Gold Wing",1991,"Touring",1520
"01e7be77f9e40713fef7941259597d9d","Honda","XR 650 R",2005,"Enduro / offroad",650
"01e96d055d89da08c24c834c1ad6705b","Husqvarna","FE350",2014,"Enduro / offroad",350
"01ea190c01692ec0f04b4f2330eaf655","Vuka","TM 200",2010,"Enduro / offroad",200
"01f251398ebf6f38bd9d7c5fc8c38098","Harley-Davidson","XL883L Sportster Low",2007,"Custom / cruiser",880
"01f721837c31b6c499741adb585d8cb5","MV Agusta","Agusta F4 S 750 1+1 EVO 3",2003,"Sport",750
"01fe29ffaa4dbf4a578d902f950ad16c","Honda","CB 1100 F (reduced effect)",1983,"Sport touring",1060
"02002e83ea4eae40d736627f0eae4003","Kawasaki","ER-6f",2014,"Naked bike",650
"0204666bfbe7f5076bf29d28ad55e252","Yamaha","V Star 1300 Tourer",2009,"Touring",1310
"020c46a4eb19581289b029069aad667d","Harley-Davidson","XLH Sportster 883 Hugger (reduced effect)",1989,"Custom / cruiser",880
"02112c1da663556be0677d7fc5fd5f83","Honda","NT700V ABS",2012,"Sport touring",680
"0215bc408792924e71e4cc515e51904b","Yamaha","XJ6 Diversion",2009,"Sport",600
"0218837b4ce42b4a3a9d880d9c572664","Swift","ESF Bar Chopper",2009,"Custom / cruiser",1640
"021c4524fa0179ea48b37df85028cf0f","Redneck","Titanium Lowlife",2010,"Custom / cruiser",1640
"0222401fc2ec5a42b64475d9cd98444c","Kymco","People S 250i E3",2007,"Scooter",250
"0224183eaeac7cd728b8b7d00c4c389a","Cagiva","650 Alazzurra",1984,"Sport touring",650
"0226d62d62c584f7b7cbdb9c5c625359","KTM","790 Adventure",2019,"Allround",800
"0227dc6614a483f5133a0df5d2294363","Yamaha","V-Max 1200",2001,"Custom / cruiser",1200
"023426d0cf9512e1ac78e2f7864239f2","BMW","K 1600 B",2021,"Touring",1650
"02381f26eb3ce0f404c39cb30a52bb0a","Honda","XR 650 R",2001,"Enduro / offroad",650
"0239846db4e4e8ced154f73f62e329a1","Moto Morini","Morini Corsaro 1200 Veloce",2010,"Naked bike",1190
"023d6814aacd4d961d250363efdf232d","Triumph","Bonneville T100 Black",2016,"Classic",870
"0240398ec4b5b3e8b9da4a72cf0f1582","Yamaha","YZF 750 R",1996,"Sport",750
"0248af78bb47ac1e3ba867243c759751","Honda","ST1300 ABS",2017,"Sport touring",1260
"024b23ba3ffc117075a052ee67400594","Ducati","Monster 821",2019,"Naked bike",820
"0252ed8e527272538e7fd5e738072480","Harley-Davidson","FLSTS Heritage Springer",2002,"Custom / cruiser",1450
"02534e9a9ad8d27484558adfdee8fcff","Honda","Forza 750",2021,"Scooter",750
"02558de72e590364fa81c434a15fe336","Husqvarna","510 TE",1990,"Enduro / offroad",500
"025f3f4605fd5ba5dcc838241db567b8","Cagiva","Grand Canyon",1999,"Enduro / offroad",900
"02629c6802958d772d8f2dbe91b68c3a","Yamaha","Road Star Silverado S",2014,"Touring",1670
"0264afdb374e9d0eeed505313b14da72","Husqvarna","FE 450",2017,"Enduro / offroad",450
"026570369b614dc85918f17e8ab0986b","Buell","S3T Thunderbolt",2002,"Touring",1200
"0265c6c157068fc873b749445d18d6bd","Honda","CTX 700",2016,"Sport touring",670
"027021740e7bb7ca00c2480b6489b375","Yamaha","XTZ 660 Ténéré",1995,"Enduro / offroad",660
"027b6840158392f4a0603762f83345ae","Suzuki","GS 450 E",1988,"Touring",450
"027be7036d3c21e7b43a2e2613eff35c","Aprilia","Shiver 750 GT",2011,"Sport touring",750
"0281d1465ddffc488b83308d231d596e","ATK","605 Enduro",2001,"Enduro / offroad",600
"02827026684a8a6aaf6df1bb1be3105f","BMW","R 1100 RT",1998,"Touring",1090
"0289eb5c37dcbe168c04c042146a0c94","Kawasaki","KL250-G4 Super Sherpa",2000,"Enduro / offroad",250
"029565a8fd0eeaac26539f6070a4aa98","Suzuki","DR 800 S",1997,"Enduro / offroad",780
"0296d8a6453ffbd7bf9638e0087d41d3","Benelli","Leoncino 500 Trail",2020,"Enduro / offroad",500
"02978622ad54acc815628d50c66e57ee","Laverda","750 S Formula",1999,"Sport",750
"02988717b9bb13987a5b79af53d093af","Kymco","Downtown 200i",2012,"Scooter",210
"02997854fadc039846cb5d4ba9cc8547","Honda","CRF 230 F",2005,"Enduro / offroad",220
"0299832720f576c931e3b72943780e6e","Suzuki","Bandit 650",2012,"Allround",660
"029cdb63b2a4fdfa6688751b755551d3","Benelli","BN 302",2018,"Naked bike",300
"029fba1c0814135f36580b9ba36958e6","Harley-Davidson","FLSTNI Softail Deluxe",2006,"Custom / cruiser",1440
"02a29a1bee680d241fd52d9786bd633c","Moto Guzzi","Guzzi Eldorado 1400",2021,"Allround",1380
"02a2d453c8ad24115fcf1d1bf0f7a132","Harley-Davidson","Softail Low Rider",2018,"Custom / cruiser",1750
"02a69bf0eeb0379eab627f9b92bc73e5","Suzuki","Van Van 200",2011,"Allround",200
"02a6b8134d0279d24dd9b1f31c65dfa2","Kawasaki","KLX 250 R",2006,"Super motard",250
"02ac820ea8ed6e8ccab39b1f12798743","Honda","CB1300S ABS",2007,"Allround",1280
"02b0ad30a7bdd5933664a5d9c531be40","GAS GAS","GAS TXT 280 Pro",2009,"Trial",270
"02b4687b5691f5bc3d58e6d7a5547ba5","Husaberg","FS 450 e",2005,"Super motard",450
"02b6423d3e5c381bba34355394681c72","Yamaha","FZ6 Fazer S2 ABS",2007,"Naked bike",600
"02b8bd40e74fd205c4f15a9e0c21de14","Kawasaki","ZZ-R 600",2002,"Sport touring",600
"02bc12d77c70c143f655e85ed82f8229","Aprilia","SR Max 300",2013,"Scooter",280
"02be627401d58b1d8929e836e2981684","Moto Guzzi","Guzzi Mille GT",1991,"Classic",950
"02c6187b43025e1e0d870bf3788ea7d1","Honda","CRF250L",2013,"Enduro / offroad",250
"02c81ce3fc89ed39765257b9be3190da","BMW","K 100 RS",1990,"Sport touring",990
"02cb330a90d59d6801475bb8731dc9fb","Kawasaki","KX250F",2007,"Cross / motocross",250
"02d0fa6237e3e08a3bd79689c1d181f0","Honda","Shadow Sabre",2005,"Custom / cruiser",1100
"02d132465b9048b61d0056514fa6b62b","Suzuki","Skywave 250 Type M",2012,"Scooter",250
"02d1d701a900827eb3c8b2a94fbc359a","Aprilia","Scarabeo 500",2009,"Scooter",460
"02d55b1d9f5f50c873d305cd7218115d","Moto Guzzi","Guzzi Bellagio",2011,"Custom / cruiser",940
"02d9e1c14bd8737fedee93474e7a56dc","BMW","S 1000 RR",2015,"Sport",1000
"02da15d4a7858bd02146a601d543293e","Moto Guzzi","Guzzi V 1000 SP II",1984,"Touring",950
"02df6eeeac7351079e9727a00f3cf481","Honda","Paneuropean",2006,"Sport touring",1300
"02e37729889c4de0f16805bc978dd449","Harley-Davidson","FXDFSE2 CVO Fat Bob",2010,"Custom / cruiser",1800
"02e7bbe249ba5a643231df1c72a0c759","Honda","CB 600 F Hornet",2006,"Naked bike",600
"02e7fb545da80ddca3c008257d895204","Kawasaki","ER-6n",2016,"Naked bike",650
"02e8d05cc52f0cc76334d819f4f4a389","KTM","690 Supermoto",2008,"Super motard",650
"02f4024ff809adb949ad6663148c0221","KTM","640 Duke II",2000,"Super motard",630
"02f77850ed824cedee7c2f28f86ee73d","Suzuki","Boulevard C109R",2008,"Custom / cruiser",1790
"02ff49ad916c59b80db75a9b48479fab","Honda","XRV 750 Africa Twin",1990,"Touring",740
"031241991574fdb9e97fd4d26fcaa85f","Honda","CB 900 F Bol d`Or",1981,"Sport",900
"031243a70e54813453f99ece6fd2c6ca","Honda","CB450SC Nighthawk",1982,"Classic",450
"0312968a4b4c2e5e8d1b3bdd0e7e0ca4","Praga","SM 610",2003,"Super motard",610
"03172b377c672c57e4c0611eb3bb228c","Senke","X6",2016,"Sport",250
"031e8c312c775a29c109a1b0e9a659d5","Harley-Davidson","VRSCAW V-Rod",2009,"Custom / cruiser",1250
"0322dc5f40b46b323a8c37e82b2f65e6","Husqvarna","WR 250",2004,"Enduro / offroad",250
"032480be8e702d4fc3e14f5fc8cf294f","MZ","Skorpion Traveller",2001,"Touring",660
"032bc2cb1b6b95815911b40dfe5bcf9d","Honda","XL 250 R",1985,"Enduro / offroad",250
"03339916b03b4bf84c4732b3f36834c8","BMW","C 600 Sport",2012,"Scooter",650
"033bd372a8c2bbcba06511889045b88f","GAS GAS","GAS XC 300",2018,"Enduro / offroad",300
"0344716d6d8f7fa8f53246ffed71c141","Hyosung","ST7",2016,"Custom / cruiser",680
"03497d6fde2f60f95f0d02f4f8870b7b","Suzuki","GN 250",1997,"Naked bike",250
"034b03cebfb584c8f8f639690d46f316","Suzuki","Bandit 1250S ABS",2011,"Naked bike",1260
"034f0449672fae5ba75f799bce34a737","Cagiva","Roadster 200",1997,"Naked bike",200
"034f247c0b47c0f3fa7cfd8f501f23d2","Aprilia","Caponord 1200",2017,"Sport touring",1200
"0353b640fd47acb1dd8df31045c90d7c","Harley-Davidson","Sportster SuperLow  1200T",2017,"Touring",1200
"035b7f32f365c74ac5420b9769a605fe","Harley-Davidson","FXSTS Springer Softail",2003,"Custom / cruiser",1450
"035de0657a60c7b3a61ea40836c086bf","Moto Guzzi","Guzzi Bellagio",2009,"Custom / cruiser",940
"0361c21a50791f4d7e6ae1c7272b0abf","Kawasaki","EN 500 (reduced effect)",1991,"Classic",500
"036540a098781b88a02c382e530914f9","Suzuki","Hayabusa",2010,"Sport",1340
"0365aad1d1b73699c1a376f835100eec","Harley-Davidson","Fat Boy",1991,"Custom / cruiser",1340
"0367e4cceccc924d58796d7e59e2eaf4","BMW","K 1600 GTL",2011,"Touring",1650
"036ad41bb3f2caed8ae4456059cb2dd6","Yamaha","TMAX SX",2019,"Scooter",530
"036b13274a35d89d8181036db2386663","Harley-Davidson","Sportster Seventy-Two",2014,"Custom / cruiser",1200
"036e9d7f7cbec915b96eb51cd635216a","Piaggio","Beverly 300",2017,"Scooter",280
"037084f7757d79cf85016d4a61cfa92a","Yamaha","TMAX - A",2006,"Scooter",500
"0371f6601ef64943800c562b655c6194","BMW","F 650 CS",2005,"Naked bike",650
"0374807d37d30dab8e7cc3f84123b0da","Sym","Citycom S 300i CBS",2015,"Scooter",280
"03764c4a03d31bd5b570d0c366faa762","Suzuki","VS 800 GL Intruder",1997,"Custom / cruiser",810
"0376800b01019b06445d1c7bcfcd8111","MZ","Baghira Street Moto",2005,"Enduro / offroad",660
"0377e090fcc4a5bba588f62d1ff72fc2","Suzuki","Boulevard M50 Special Edition",2010,"Custom / cruiser",810
"03786325f5cf27c90c50b95f843f3512","Suzuki","GSX-R1000Z",2013,"Sport",1000
"037eacb2a366651db708e3730e7d241f","Honda","Gold Wing F6B Deluxe",2015,"Touring",1830
"037ee196b7b4958a6de814570e533e45","AJP","PR5 250 Enduro",2020,"Enduro / offroad",250
"03811119830220b80687d0e56f7ddd6a","Suzuki","GSX 600 F",1998,"Sport touring",600
"038f9b5a1e3d5f0abd82ba3e9212431a","BMW","K 1300 R",2012,"Naked bike",1290
"038ffa2b1cdeb5daa324f8f39ea393ba","Honda","XL 500 S",1981,"Allround",500
"0393b9cf91c669fff71a5edd533ffd3f","Suzuki","GSR 400",2008,"Sport",400
"0396d8d29199a94ff303f5fd781d3b84","Kymco","People 250",2007,"Scooter",250
"039d19e379ddb0ce1f329c1955aeb6c1","Enfield","350 Bullet",1984,"Custom / cruiser",350
"039d8de93bbfcb3faab8200e76ea8a56","Kawasaki","EL 250",1992,"Sport touring",250
"03a6dfded4cfc731dfd13a30f07ee6a7","Matchless","G 80 E",1990,"Scooter",490
"03ab8f5f796da99eb75e3e4bef139168","Triumph","Tiger 800 XR",2015,"Super motard",800
"03aea538f15683659ef0346a4a843d6b","Yamaha","WR250X",2011,"Super motard",250
"03b02651ad9ca83afade2eb06a970f39","Triumph","Rocket III Roadster",2016,"Custom / cruiser",2290
"03beabeedd640777b6a2727eae4d2b48","Suzuki","RM-Z450",2008,"Cross / motocross",450
"03c148865d9a4bca7d73c95a1f7812df","Aprilia","RS 660 35kW",2021,"Sport",660
"03c5b264b46538dcfdbaba8739d70b54","Ducati","Monster 795 ABS",2013,"Naked bike",800
"03c8654565242c66f4be773a49664a64","Honda","PC 800 Pacific Coast",1998,"Sport touring",800
"03cfa41864025b305192c49c2a570770","Honda","FourTrax Foreman Rubicon",2009,"Sport",500
"03d4ae96cf9b661f3e795f78434e19e6","Suzuki","GSX-R1000",2012,"Sport",1000
"03d86bea09013e446c8dd83c89bdbc81","Harley-Davidson","XL 883 Sportster",2005,"Custom / cruiser",880
"03e24bb0ea0751a513aff1a7f3369896","Victory","Ness Magnum",2015,"Touring",1740
"03e6b2c50b5b2818b9abfe6663ac631a","Honda","CB1100 RS",2018,"Classic",1140
"03e8f8f1be096db610834abb47608b74","Moto Guzzi","Guzzi Stelvio 1200 NTX",2017,"Super motard",1150
"03e94dca3736a43a2ae8210f2f592acb","Victory","Kingpin",2006,"Custom / cruiser",1640
"03f07d3a942034575ef8364a1e2f3827","Ducati","Sport 1000 Biposto",2007,"Classic",990
"03f0b8f064d5bf79bc1470b2bbc186eb","Honda","VF 750 C",1997,"Custom / cruiser",750
"03f2ab997f45ba4e9483bf2770a8945e","Yamaha","XMAX 300",2021,"Scooter",290
"03f34fe452665a263bcf145abed6b357","KTM","640 Duke II",1999,"Super motard",630
"03f73776bef4d60e3fd25761bfff978e","Kawasaki","W800 Black Edition",2015,"Classic",770
"03fcf04038a4600bf99a31e6827dec6e","Kawasaki","GPZ 750",1983,"Sport",740
"0405300895de744272c84837a1d72511","Yamaha","V Star 950",2012,"Custom / cruiser",940
"0407a6d73c2027524111cafe72cf8d0c","MuZ","Skorpion Tour 660",1996,"Naked bike",660
"04093e762f14327f15e7bb59ca4e47c5","Highland","Outback",2006,"Enduro / offroad",940
"04160d48ece0edbd250fe6df3c7f6d60","BMW","R 65 GS",1988,"Enduro / offroad",650
"041d6f19ae27f193db76bc8458bcf4cf","Ducati","GT 1000",2007,"Classic",990
"0421404021021c62ef6b650f6f074949","Victory","Gunner",2017,"Custom / cruiser",1730
"042c7ebdacbd667bc3b77238a258733f","Yamaha","XJ 900",1985,"Sport touring",890
"0437c02763d6ce2186551ac3f6f1ffcb","Moto Guzzi","Guzzi 850 Le Mans III",1984,"Naked bike",840
"043ca22439ca388dc0552b98a73106e7","Honda","ST1300 ABS",2011,"Sport touring",1260
"0440e701e0412cd9c701bd15430e7f19","Triumph","Trophy 900",2000,"Touring",860
"0445ac6cb7b1b8ba5ac3836a4735b553","Cagiva","V-Raptor 1000",2004,"Naked bike",1000
"0447075ff185d31dd450501145130566","Suzuki","GSX 400",1980,"Naked bike",400
"04497edff9da5a393f128ceeb9aad337","Yamaha","Grand Majesty 400",2015,"Scooter",400
"044f5c198a9fed3bd53d4a1450d35f29","Kawasaki","Vulcan 1600 Classic",2008,"Custom / cruiser",1550
"0452a1515ef6efa10be2f518fc7cd715","Yamaha","Majesty 400",2008,"Scooter",400
"045657db2674b3deec073671c4a97d7f","KTM","250 EXC",2010,"Enduro / offroad",250
"045acc9d29eb7f2239ab3161e1b96bbb","Honda","VF 1000 F (reduced effect)",1985,"Sport touring",1000
"0461571f0371634f7f22444baa8515bb","Honda","VT 1100 C3 Shadow Aero",1998,"Custom / cruiser",1100
"046182136af4ff9daeea71216c1838aa","KTM","250 SX",2011,"Enduro / offroad",250
"046580e7e22b286e7279ca51661ebcd3","Yamaha","XV 1100",1991,"Sport touring",1060
"046a363e23994365bf4b85613333710c","Yamaha","YZF-R1",2006,"Sport",1000
"046aaee69ca76cad9b771405069cea03","Honda","Sabre ABS",2010,"Custom / cruiser",1310
"046d498f71dc191be36eb03b986f0bc7","Hartford","VR-200H",2007,"Enduro / offroad",200
"0473768ae51bdb18e4abe055cd526afb","Yamaha","YZF-R6",2018,"Sport",600
"047c5e995e53c461c0eb5e95f74f10dc","Ducati","Streetfighter 848",2015,"Naked bike",850
"047c71f846ae83d5b1125766a5aea570","Harley-Davidson","XL1200L Sportster 1200 Low",2008,"Custom / cruiser",1200
"0489f3eb5e8f4fca44e2cd64d3d15233","Harley-Davidson","XL 1200 C Sportster 1200 Custom",2002,"Custom / cruiser",1200
"048d72157b144b7d0ac1dbf4a0826969","BMW","R 1250 GS Adventure",2021,"Enduro / offroad",1250
"049122f326588e92149910d4ba37641e","Kawasaki","Z 750 Turbo",1986,"Sport",740
"049ad405e59a1c59c1314287b47bcaf0","Honda","Rebel",2013,"Custom / cruiser",230
"049b3bd186cc723fa60a303b309580c7","KTM","350 EXC-F",2017,"Enduro / offroad",350
"04a08cd1abadf04f36acd780edf8ae7d","Yamaha","TT-R230",2009,"Enduro / offroad",220
"04b3214e9000b4d9952fef90d31dc2b6","BMW","R 1200 RT",2008,"Touring",1170
"04b663753c82b160b70c0ab40ca502ec","Honda","XR 250 Tornado",2008,"Enduro / offroad",250
"04b6822c3b1f7f8d87932e21e75fd53c","BMW","S 1000 RR",2022,"Sport",1000
"04c028b030e5ad9a80a600ec975c124e","Honda","NT 650 Hawk GT",1990,"Naked bike",650
"04c3b0a5b771451cc9365910a24831d2","Suzuki","GSX 750 F (reduced effect)",1992,"Sport touring",750
"04c6f44f6d76cab93a46875f5495f93e","MV Agusta","Agusta F4 1000 AGO",2005,"Sport",1000
"04c8bfdfabd2141211fe261ccaba1ef7","Moto Guzzi","Guzzi MGS-01 Corsa",2011,"Sport",1230
"04c9853c083638ada21d14744f552ce0","Kawasaki","Versys 650",2020,"Allround",650
"04ca471d5764e82501bd57cf07740bec","Yamaha","YZ450F",2011,"Cross / motocross",450
